postgres-1  | 2025-10-21 05:09:20.786 UTC [15685] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:53.285 UTC [15758] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:53.285 UTC [15758] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:54.369 UTC [15759] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:54.369 UTC [15759] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:55.284 UTC [15760] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:55.284 UTC [15760] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:56.290 UTC [15768] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:56.290 UTC [15768] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:57.208 UTC [15769] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:57.208 UTC [15769] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:58.143 UTC [15770] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:58.143 UTC [15770] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:59.058 UTC [15771] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:59.058 UTC [15771] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:09:59.932 UTC [15772] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:09:59.932 UTC [15772] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:00.889 UTC [15780] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:00.889 UTC [15780] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:01.766 UTC [15781] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:01.766 UTC [15781] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:02.920 UTC [15782] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:02.920 UTC [15782] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:03.993 UTC [15783] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:03.993 UTC [15783] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:05.078 UTC [15784] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:05.078 UTC [15784] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:06.068 UTC [15792] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:06.068 UTC [15792] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:06.928 UTC [15793] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:06.928 UTC [15793] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:08.231 UTC [15794] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:08.231 UTC [15794] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:09.646 UTC [15795] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:09.646 UTC [15795] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:10.638 UTC [15796] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:10.638 UTC [15796] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:11.624 UTC [15804] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:11.624 UTC [15804] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:12.508 UTC [15805] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:12.508 UTC [15805] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:13.404 UTC [15807] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:13.404 UTC [15807] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:14.448 UTC [15808] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:14.448 UTC [15808] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:15.396 UTC [15809] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:15.396 UTC [15809] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:16.565 UTC [15817] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:16.565 UTC [15817] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:17.789 UTC [15818] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:17.789 UTC [15818] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:18.937 UTC [15819] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:18.937 UTC [15819] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:20.057 UTC [15820] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:20.057 UTC [15820] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:20.966 UTC [15821] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:20.966 UTC [15821] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:21.887 UTC [15829] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:21.887 UTC [15829] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:22.957 UTC [15830] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:22.957 UTC [15830] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:23.899 UTC [15831] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:23.899 UTC [15831] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:25.064 UTC [15832] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:25.064 UTC [15832] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:26.155 UTC [15833] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:26.155 UTC [15833] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:27.190 UTC [15841] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:27.190 UTC [15841] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:28.142 UTC [15842] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:28.142 UTC [15842] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:29.013 UTC [15843] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:29.013 UTC [15843] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:30.028 UTC [15844] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:30.028 UTC [15844] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:30.932 UTC [15845] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:30.932 UTC [15845] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:31.858 UTC [15853] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:31.858 UTC [15853] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:32.868 UTC [15854] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:32.868 UTC [15854] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:33.851 UTC [15855] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:33.851 UTC [15855] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:34.979 UTC [15856] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:34.979 UTC [15856] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:36.233 UTC [15857] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:36.233 UTC [15857] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:37.139 UTC [15865] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:37.139 UTC [15865] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:38.073 UTC [15866] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:38.073 UTC [15866] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:39.092 UTC [15867] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:39.092 UTC [15867] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:40.079 UTC [15868] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:40.079 UTC [15868] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:40.729 UTC [15869] FATAL:  password authentication failed for user "ubuntu"
postgres-1  | 2025-10-21 05:10:40.729 UTC [15869] DETAIL:  Role "ubuntu" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:40.964 UTC [15870] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:40.964 UTC [15870] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:42.041 UTC [15878] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:42.041 UTC [15878] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:43.001 UTC [15879] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:43.001 UTC [15879] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:44.049 UTC [15880] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:44.049 UTC [15880] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:45.183 UTC [15881] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:45.183 UTC [15881] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:46.429 UTC [15882] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:46.429 UTC [15882] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:47.348 UTC [15890] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:47.348 UTC [15890] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:48.582 UTC [15891] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:48.582 UTC [15891] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:49.655 UTC [15892] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:49.655 UTC [15892] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:50.555 UTC [15893] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:50.555 UTC [15893] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:51.462 UTC [15894] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:51.462 UTC [15894] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:52.549 UTC [15902] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:52.549 UTC [15902] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:53.509 UTC [15903] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:53.509 UTC [15903] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:54.446 UTC [15904] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:54.446 UTC [15904] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:55.317 UTC [15905] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:55.317 UTC [15905] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:56.241 UTC [15906] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:56.241 UTC [15906] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:57.321 UTC [15914] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:57.321 UTC [15914] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:58.489 UTC [15915] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:58.489 UTC [15915] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:10:59.611 UTC [15916] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:10:59.611 UTC [15916] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:00.540 UTC [15917] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:00.540 UTC [15917] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:01.426 UTC [15918] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:01.426 UTC [15918] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:02.298 UTC [15926] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:02.298 UTC [15926] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:03.721 UTC [15927] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:03.721 UTC [15927] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:04.880 UTC [15928] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:04.880 UTC [15928] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:06.062 UTC [15929] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:06.062 UTC [15929] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:07.132 UTC [15937] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:07.132 UTC [15937] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:08.235 UTC [15938] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:08.235 UTC [15938] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:09.137 UTC [15939] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:09.137 UTC [15939] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:10.050 UTC [15940] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:10.050 UTC [15940] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:11.094 UTC [15941] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:11.094 UTC [15941] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:12.158 UTC [15942] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:12.158 UTC [15942] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:13.075 UTC [15950] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:13.075 UTC [15950] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:14.038 UTC [15952] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:14.038 UTC [15952] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:15.333 UTC [15953] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:15.333 UTC [15953] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:16.416 UTC [15954] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:16.416 UTC [15954] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:17.499 UTC [15962] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:17.499 UTC [15962] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:18.593 UTC [15963] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:18.593 UTC [15963] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:11:19.971 UTC [15964] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:11:19.971 UTC [15964] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
